time,luminosity,radius,temperature
51.002741460724515,2.6880970509203317e+41,1513146605610735.8,3583.296066292891
51.05013622310571,2.6822498678325916e+41,1509986033776287.0,3585.347538882443
51.097530985486905,2.6764026847448515e+41,1506825461941838.5,3587.399011471996
51.14492574786809,2.6705555016571126e+41,1503664890107390.2,3589.450484061548
51.19232051024929,2.664708318569373e+41,1500504318272941.8,3591.5019566511005
51.239715272630484,2.6588611354816327e+41,1497343746438493.2,3593.5534292406533
51.28711003501168,2.6530139523938926e+41,1494183174604044.5,3595.604901830206
51.334504797392874,2.647166769306153e+41,1491022602769596.0,3597.6563744197583
51.38189955977406,2.6413195862184136e+41,1487862030935147.8,3599.7078470093106
51.42929432215526,2.635472403130674e+41,1484701459100699.2,3601.7593195988634
51.47668908453645,2.6296252200429338e+41,1481540887266250.8,3603.8107921884157
51.52408384691765,2.623778036955194e+41,1478380315431802.0,3605.8622647779684
51.571478609298836,2.6179308538674547e+41,1475219743597354.0,3607.9137373675208
51.61887337168003,2.612083670779715e+41,1472059171762905.5,3609.9652099570735
51.66626813406123,2.606236487691975e+41,1468898599928456.8,3612.016682546626
51.71366289644242,2.6003893046042352e+41,1465738028094008.2,3614.0681551361786
51.76105765882362,2.594542121516495e+41,1462577456259559.5,3616.1196277257313
51.808452421204805,2.588694938428756e+41,1459416884425111.5,3618.171100315283
51.855847183586,2.582847755341016e+41,1456256312590663.0,3620.222572904836
51.903241945967196,2.5770005722532764e+41,1453095740756214.2,3622.2740454943887
51.95063670834839,2.5711533891655363e+41,1449935168921765.8,3624.325518083941
51.99803147072958,2.5653062060777973e+41,1446774597087317.5,3626.3769906734933
52.045426233110774,2.5594590229900572e+41,1443614025252869.0,3628.428463263046
52.09282099549197,2.5536118399023175e+41,1440453453418420.5,3630.479935852599
52.140215757873165,2.5477646568145774e+41,1437292881583971.8,3632.531408442151
52.18761052025435,2.5419174737268385e+41,1434132309749523.8,3634.5828810317034
52.23500528263555,2.5360702906390984e+41,1430971737915075.0,3636.634353621256
52.28240004501674,2.5302231075513583e+41,1427811166080626.5,3638.6858262108085
52.32979480739794,2.5243759244636186e+41,1424650594246178.0,3640.7372988003613
52.377189569779134,2.5185287413758785e+41,1421490022411729.2,3642.788771389914
52.42458433216032,2.5126815582881395e+41,1418329450577281.2,3644.8402439794663
52.47197909454152,2.5068343752003994e+41,1415168878742832.8,3646.8917165690186
52.51937385692271,2.5009871921126597e+41,1412008306908384.0,3648.9431891585714
52.56676861930391,2.4951400090249196e+41,1408847735073935.5,3650.9946617481237
52.614163381685096,2.4892928259371807e+41,1405687163239487.2,3653.046134337676
52.66155814406629,2.4834456428494406e+41,1402526591405038.8,3655.0976069272288
52.708952906447486,2.477598459761701e+41,1399366019570590.2,3657.1490795167815
52.75634766882868,2.4717512766739608e+41,1396205447736141.5,3659.200552106334
52.80374243120987,2.465904093586222e+41,1393044875901693.5,3661.252024695886
52.851137193591065,2.4600569104984817e+41,1389884304067245.0,3663.303497285439
52.89853195597226,2.454209727410742e+41,1386723732232796.2,3665.354969874991
52.945926718353455,2.448362544323002e+41,1383563160398347.8,3667.406442464544
52.99332148073465,2.4425153612352618e+41,1380402588563899.0,3669.4579150540967
53.04071624311584,2.436668178147523e+41,1377242016729451.0,3671.509387643649
53.08811100549703,2.430820995059783e+41,1374081444895002.5,3673.5608602332013
53.13550576787823,2.424973811972043e+41,1370920873060553.8,3675.612332822754
53.182900530259424,2.419126628884303e+41,1367760301226105.2,3677.663805412307
53.23029529264061,2.413279445796564e+41,1364599729391657.0,3679.7152780018587
53.27769005502181,2.4074322627088243e+41,1361439157557208.5,3681.7667505914114
53.325084817403,2.401585079621084e+41,1358278585722760.0,3683.818223180964
53.3724795797842,2.395737896533344e+41,1355118013888311.2,3685.8696957705165
53.41987434216539,2.3898907134456044e+41,1351957442053862.8,3687.9211683600693
53.46726910454658,2.3840435303578654e+41,1348796870219414.5,3689.9726409496216
53.514663866927776,2.3781963472701253e+41,1345636298384966.0,3692.0241135391743
53.56205862930897,2.3723491641823852e+41,1342475726550517.5,3694.0755861287266
53.60945339169017,2.3665019810946455e+41,1339315154716068.8,3696.1270587182794
53.656848154071355,2.3606547980069062e+41,1336154582881620.8,3698.1785313078317
53.70424291645255,2.3548076149191665e+41,1332994011047172.2,3700.230003897384
53.751637678833745,2.3489604318314264e+41,1329833439212723.5,3702.2814764869368
53.79903244121494,2.3431132487436867e+41,1326672867378275.0,3704.3329490764895
53.84642720359613,2.3372660656559473e+41,1323512295543826.8,3706.384421666042
53.893821965977324,2.3314188825682076e+41,1320351723709378.2,3708.435894255594
53.94121672835852,2.3255716994804675e+41,1317191151874929.8,3710.487366845147
53.988611490739714,2.319724516392728e+41,1314030580040481.0,3712.538839434699
54.03600625312091,2.3138773333049877e+41,1310870008206032.5,3714.590312024252
54.0834010155021,2.3080301502172488e+41,1307709436371584.5,3716.6417846138042
54.13079577788329,2.3021829671295087e+41,1304548864537135.8,3718.693257203357
54.17819054026449,2.2963357840417686e+41,1301388292702687.2,3720.7447297929093
54.22558530264568,2.290488600954029e+41,1298227720868238.5,3722.796202382462
54.27298006502687,2.28464141786629e+41,1295067149033790.5,3724.8476749720144
54.32037482740807,2.27879423477855e+41,1291906577199342.0,3726.8991475615667
54.36776958978926,2.2729470516908097e+41,1288746005364893.2,3728.9506201511194
54.41516435217046,2.26709986860307e+41,1285585433530444.8,3731.002092740672
54.462559114551645,2.261252685515331e+41,1282424861695996.5,3733.0535653302245
54.50995387693284,2.255405502427591e+41,1279264289861548.0,3735.105037919777
54.557348639314036,2.249558319339851e+41,1276103718027099.5,3737.1565105093296
54.60474340169523,2.243711136252111e+41,1272943146192650.8,3739.2079830988823
54.652138164076426,2.237863953164371e+41,1269782574358202.2,3741.2594556884346
54.699532926457614,2.232016770076632e+41,1266622002523754.0,3743.310928277987
54.74692768883881,2.226169586988892e+41,1263461430689305.5,3745.3624008675397
54.794322451220005,2.2203224039011523e+41,1260300858854857.0,3747.413873457092
