SED freq flux
0 4.94 2186.80433207
0 4.95 2191.402824
0 4.96 2196.00167602
0 4.97 2200.60088744
0 4.98 2205.20045757
0 4.99 2209.8003857
0 5.0 2214.40067115
0 5.01 2219.00131323
0 5.02 2223.60231127
0 5.03 2228.20366457
0 5.04 2232.80537245
0 5.05 2237.40743425
0 5.06 2242.00984929
0 5.07 2246.6126169
0 5.08 2251.2157364
0 5.09 2255.81920713
0 5.1 2260.42302844
0 5.11 2265.02719965
0 5.12 2269.63172011
0 5.13 2274.23658917
0 5.14 2278.84180617
0 5.15 2283.44737046
0 5.16 2288.05328139
0 5.17 2292.65953832
0 5.18 2297.2661406
0 5.19 2301.87308759
0 5.2 2306.48037866
0 5.21 2311.08801317
0 5.22 2315.69599048
0 5.23 2320.30430996
0 5.24 2324.91297098
0 5.25 2329.52197293
0 5.26 2334.13131516
0 5.27 2338.74099707
0 5.28 2343.35101803
0 5.29 2347.96137743
0 5.3 2352.57207464
0 5.31 2357.18310906
0 5.32 2361.79448008
0 5.33 2366.40618708
0 5.34 2371.01822947
0 5.35 2375.63060663
0 5.36 2380.24331797
0 5.37 2384.85636289
0 5.38 2389.46974079
0 5.39 2394.08345108
0 5.4 2398.69749316
0 5.41 2403.31186644
0 5.42 2407.92657033
0 5.43 2412.54160425
0 5.44 2417.15696761
0 5.45 2421.77265984
0 5.46 2426.38868034
0 5.47 2431.00502855
0 5.48 2435.62170388
0 5.49 2440.23870577
0 5.5 2444.85603364
0 5.51 2449.47368692
0 5.52 2454.09166504
0 5.53 2458.70996745
0 5.54 2463.32859356
0 5.55 2467.94754283
0 5.56 2472.56681469
0 5.57 2477.18640859
0 5.58 2481.80632397
0 5.59 2486.42656027
0 5.6 2491.04711695
0 5.61 2495.66799345
0 5.62 2500.28918922
0 5.63 2504.91070373
0 5.64 2509.53253642
0 5.65 2514.15468675
0 5.66 2518.77715419
0 5.67 2523.39993819
0 5.68 2528.02303822
0 5.69 2532.64645374
0 5.7 2537.27018423
0 5.71 2541.89422914
0 5.72 2546.51858794
0 5.73 2551.14326013
0 5.74 2555.76824515
0 5.75 2560.3935425
0 5.76 2565.01915165
0 5.77 2569.64507208
0 5.78 2574.27130327
0 5.79 2578.8978447
0 5.8 2583.52469587
0 5.81 2588.15185624
0 5.82 2592.77932533
0 5.83 2597.4071026
0 5.84 2602.03518757
0 5.85 2606.66357971
0 5.86 2611.29227853
0 5.87 2615.92128352
