name,host,type,x,y,z,t,log10lum
SN2012ec,NGC 1084,II P,-11.165126977649285,-0.48236922347389477,-16.91737309988786,2012.6967838498888,9.096000000000002
SN2014dw,NGC 3568,II,6.654334142320937,-32.121229625504924,12.748717764842485,2014.9330942211516,8.8124
SN1999br,NGC 4900,II P,5.06393462277749,-6.373905428961418,17.673237793091765,1999.3661884423027,8.296000000000001
OGLE-2012-SN-006,nan,Ibn,69.36380357075319,-190.1483115156874,-160.41803305313022,2012.8771401452925,10.696000000000002
SN2011bm,IC 3918,Ic,6.011094632616473,-5.443187353291968,94.34801650176976,2011.344285036323,9.496
SN2018zd,NGC 2146,II,-8.350816259996954,8.167711360736034,5.414862725798612,2018.255475851495,8.656800000000002
SN2014L,NGC 4254,Ic,0.06598987675958146,-8.8636882085596,33.51103603619058,2014.1545194027672,9.7672
SN2010ai,SDSS J125925.04+275948.2,Ia,1.4438514077457718,2.4599449864013145,83.0689145139946,2010.2719034059796,9.408000000000001
SN2016zc,SDSS J140557.36+435257.2,Ia,3.933185224876084,55.28698665650946,133.86869137507207,2016.1682090315044,9.772040000000002
SN2018bgv,nan,SLSN-I,-169.13389864433807,97.52825612724465,283.21423447745826,2018.4330942211516,10.296000000000001
PS15blq,nan,IIn,154.57838684585843,416.41300056880493,281.12058218302553,2015.6517814770195,10.664000000000001
SN2007jg,SDSS J032950.83+000316.0,Ia,-114.01223666837396,-7.992341172977614,-107.54179171547663,2007.7883309604645,9.342519999999999
SN1994ae,NGC 3370,Ia,-9.139312323494385,-9.248832481374855,22.220342175783323,1994.9549976271312,9.940000000000001
SN2004gq,NGC 1832,Ib,-10.949687286437763,-8.1344339311499,-7.528249478782102,2005.030117183222,8.575999999999999
SN2007od,UGC 12846,II P,-4.426834974258028,16.619996305869492,-15.761540920671255,2007.9221425181618,9.256
SN2008C,UGC 3611,Ia,-69.81428547040682,-18.931464673506103,13.248535045544239,2008.0915471105757,9.70016
SN1990N,NGC 4639,Ia,1.9148971533063195,-4.2278536200638515,18.59696338902626,1990.5629722921915,9.508000000000001
SN1999aa,NGC 2595,Ia Pec,-49.10894039322046,-20.567583252196293,31.128365898780636,1999.1967838498888,9.736000000000002
SN2006le,UGC 3218,Ia,-57.338969118452596,36.00161780323883,14.61942090948122,2006.9045194027672,9.256
SN1980N,NGC 1316,Ia,-3.3602560320663764,-5.857926868112545,-10.254527642528473,1981.0191654802322,9.184000000000001
SN2008hs,NGC 910,Ia,-55.431606160004605,44.71211882809489,-22.70734052810156,2009.0027379257474,9.23044
PS15bom,SDSS J232637.05-0017,Ia,6.462356643775369,47.408283568332706,-71.76255180710548,2015.665471105757,9.496
SN2012P,NGC 5806,Ib/c,12.535572807229299,-0.20039352968012708,15.04615235698132,2012.1435676997773,8.2096
SN1981B,NGC 4536,Ia,1.9959088505557987,-4.709014321212698,10.841071513035773,1981.255475851495,9.384
SN1998de,NGC 252,Ia Pec,-27.538440983975093,44.018323553158424,-36.68366163086111,1998.6463056255247,8.936000000000002
SN2006qq,ESO 553-G36,IIn,-66.47252484894666,-61.99709234692581,-50.622591816174705,2006.9988044390905,10.088000000000001
SN2015W,UGC 3617,II,-51.71749628306327,-20.352523618094153,7.330386396657875,2015.1161884423027,8.816
SN2005ag,2MASX J14564322+0919361,Ia,189.3296375350714,26.08392658384181,278.0909065034358,2005.1940459241414,9.724440000000001
SN2007ld,SDSS J04929.40+000016.8,II,65.5517269317359,71.31039070522584,-47.24740506126645,2007.849760887818,8.816
SN2004gk,IC 3311,Ic,0.7531783465573274,-4.515565339548129,15.904452935704716,2004.985114810353,9.016
SN2006hb,MCG -04-12-34,Ia,-38.082667949956544,-33.74130523693303,-33.14464152296493,2006.8239239951813,9.296000000000001
SN1999cr,ESO 576-G034,II P,38.14761698212769,-42.22759778595503,51.6179435369222,1999.2828551089694,8.696000000000002
SN2004ey,UGC 11816,Ia,25.63477770130173,40.1939024760916,-37.61171246981004,2004.8716642937977,9.416
SN2002cr,NGC 5468,Ia,19.678597668371626,-9.22048879913418,28.529730494245687,2002.4194045924141,9.496
SN2013cs,ESO 576-G17,Ia,18.077616495357844,-20.879150586771274,27.176134338283287,2013.4549976271312,9.496
Gaia16aiz,nan,nan,11.160302208387009,186.04415694690013,128.94452857717116,2016.3129722921915,9.856000000000002
SN2010id,NGC 7483,II,3.8806027756756984,20.148730446550516,-24.57431065283172,2010.7938068119593,7.975999999999999
SN2006bt,CGCG 108-013,Ia Pec,73.96184524817915,49.32889122973633,96.12400533926646,2006.4045194027672,9.440000000000001
SN2008S,NGC 6946,IIn-pec/LBV,-0.06687583574804884,0.6741864402591047,0.13972731261830015,2008.1694045924141,5.6160000000000005
SN2010gx,A112547-0849,SLSN-I,-0.4905349988434011,-624.6130314629031,705.5512183628333,2010.2855930347168,10.9028
SN1979C,NGC 4321,II,0.07683657885993211,-3.5344393247847967,15.173695728640617,1979.385353922535,9.656
SN1999ca,NGC 3120,II P,-1.2706664389532474,-35.16633545103099,10.853518246278218,1999.4072573285146,8.975999999999999
SN2004aw,NGC 3997,Ic,-11.33593465091636,-9.091626987208357,67.4325789360809,2004.3020205892017,9.296000000000001
SN2008Z,SDSS J094315.36+361709.2,Ia,-58.31708443392792,-8.032955817391183,68.56032589328635,2008.185832146899,9.372800000000002
SN1937D,NGC 1003,Ia,-6.0212287054220965,4.371871920279234,-2.3517967773238255,1937.774641331727,9.496
SN1998aq,NGC 3982,Ia,-7.517991192877465,6.572905451547643,17.485200500775143,1998.36892636805,9.844000000000001
SN2007hj,NGC 7461,Ia,1.8373165729147267,46.7850697629763,-38.844154553995985,2007.7527379257474,9.2984
ASASSN-15nx,GALEXASC J044353.08-094205.8,II Pec,-83.61787086609539,-42.54696243150104,-60.23615649576586,2015.6885700726464,9.856000000000002
SN2018bhc,nan,Ia,132.9966781705772,134.08765952944174,146.44845239954185,2018.435832146899,10.376
SN2007pk,NGC 579,IIn,-42.59679659414634,46.50955576997485,-34.253529834973975,2007.9440459241414,9.88284
SN2010Y,NGC 3392,Ia,-24.731966068393085,20.389098876851705,34.41218221251827,2010.1885700726464,9.416
SN2018kyi,nan,Ia,-87.49797736663886,-16.43124405651544,23.663870232571384,2019.0739239951813,9.203999999999999
SN2005gj,SDSS J030111.99-003313.5,Ia,-172.06314449117144,6.34636507169341,-198.54034333173553,2005.821186069434,10.656
SN1994Y,NGC 5371,II,1.3580363699218747,9.913379776451691,29.394772289268737,1994.7186872558684,9.296000000000001
SN2006mr,NGC 1316,Ia Pec,-3.3553344500443636,-5.849626514398138,-10.260875466302553,2006.930356295404,8.536000000000001
SN1999dq,NGC 976,Ia-91T,-32.77422951081494,16.815460442629277,-26.636756523424413,1999.755475851495,9.456000000000001
SN2005hj,SDSS J012648.45-011417.3,Ia,-88.39546519929866,67.71426554199256,-216.24851388863746,2005.9045194027672,9.631280000000002
SN2004gt,NGC 4038,Ic,3.3503850124829953,-10.995684290546148,10.517083935985706,2005.0328551089694,8.776
SN2011by,NGC 3972,Ia,-4.6189933656921545,4.037722591510599,10.647177500144796,2011.4045194027672,9.144
SN2003fa,ARK 527,Ia,54.65621979329147,126.50965691341467,78.13900674430212,2003.5027379257474,9.772
SN2000cb,IC 1158,II P Pec,18.0028577025224,3.84263655638686,14.331035417187183,2000.4072573285146,8.416
SN2002dp,NGC 7678,Ia,-5.8846781628006415,37.60128065476226,-28.206509801467462,2002.5492826634543,9.496
SN2005al,NGC 5304,Ia,37.975375665364616,-34.69421822800552,30.445323782348716,2005.2323768846056,9.456000000000001
SN1996X,NGC 5061,Ia,10.720690522019845,-12.672021393482913,11.904818489018625,1996.3661884423027,9.456000000000001
SN2007nq,UGC 595,Ia,-48.598747472670226,65.79352961588741,-169.34433301838976,2007.8908297740297,9.518680000000002
SN2011fu,UGC 1626,IIb,-55.9824440306852,50.28599607868147,-26.07736180752408,2011.8074964406965,9.406
SN1995D,NGC 2962,Ia,-14.403807628853109,-17.18219513639962,18.586539799241034,1995.1940459241414,9.896
