congress_number,icpsr_id,state_code,congress_district,state_name,party_code,occupancy,last_means_of_office,name,x_dimension,alt_dimension,log_likelihood,num_votes,num_classification_factors,geometric_mean_probability
114,29331,43,7,FLORIDA,200,0,1,MICA,0.453,0.137,-113.52337,1119,46,0.904
114,20909,43,8,FLORIDA,200,0,1,POSEY,0.508,-0.281,-192.32167,1121,76,0.842
114,20908,43,9,FLORIDA,100,0,1,GRAYSON,-0.363,-0.457,-179.64887,1099,63,0.849
114,21116,43,10,FLORIDA,200,0,1,WEBSTER,0.464,0.114,-133.35741,1067,54,0.883
114,21115,43,11,FLORIDA,200,0,1,NUGENT,0.483,0.077,-157.24613,973,75,0.851
114,20758,43,12,FLORIDA,200,0,1,BILIRAKI,0.392,0.084,-136.84216,1118,62,0.885
114,21401,43,13,FLORIDA,200,0,1,JOLLY,0.23,0.058,-228.78436,1065,93,0.807
114,20708,43,14,FLORIDA,100,0,1,CASTOR,-0.438,0.041,-86.52943,1096,43,0.924
114,21117,43,15,FLORIDA,200,0,1,ROSS,0.539,0.123,-110.97254,1109,44,0.905
114,20709,43,16,FLORIDA,200,0,1,BUCHANAN,0.355,-0.13,-191.66464,1063,82,0.835
114,20910,43,17,FLORIDA,200,0,1,ROONEY,0.466,0.085,-133.86939,1078,72,0.883
114,21319,43,18,FLORIDA,100,0,1,MURPHY,-0.186,-0.026,-209.56091,1085,85,0.824
114,21377,43,19,FLORIDA,200,0,1,CLAWSON,0.626,-0.509,-201.38303,1041,71,0.824
114,29337,43,20,FLORIDA,100,0,1,HASTINGS,-0.567,0.16,-116.0609,945,51,0.884
114,20959,43,21,FLORIDA,100,0,1,DEUTCH,-0.428,-0.042,-82.64414,1060,33,0.925
114,21321,43,22,FLORIDA,100,0,1,FRANKEL,-0.429,-0.018,-77.82082,1105,26,0.932
114,20504,43,23,FLORIDA,100,0,1,WASSERMA,-0.44,0.13,-84.66612,1035,31,0.921
114,21118,43,24,FLORIDA,100,0,1,WILSON,-0.481,0.018,-73.17146,1041,28,0.932
114,20316,43,25,FLORIDA,200,0,1,DIAZ-BAL,0.277,0.104,-147.12263,1101,52,0.875
114,21512,43,26,FLORIDA,200,0,1,CURBELO,0.192,-0.182,-265.25634,1101,132,0.786
114,15634,43,27,FLORIDA,200,0,1,ROS-LEHT,0.245,-0.205,-264.02469,1108,136,0.788
114,21513,44,1,GEORGIA,200,0,1,CARTER,0.551,0.271,-100.33043,1111,53,0.914
114,29339,44,2,GEORGIA,100,0,1,BISHOP,-0.289,0.537,-271.49511,1105,126,0.782
114,20506,44,3,GEORGIA,200,0,1,WESTMORE,0.672,0.189,-145.79575,946,55,0.857
114,20712,44,4,GEORGIA,100,0,1,JOHNSON,-0.476,0.09,-125.75181,1088,39,0.891
114,15431,44,5,GEORGIA,100,0,1,LEWIS,-0.587,-0.239,-72.4099,1046,33,0.933
114,20505,44,6,GEORGIA,200,0,1,PRICE,0.642,0.017,-99.67315,1085,56,0.912
114,21122,44,7,GEORGIA,200,0,1,WOODALL,0.658,-0.254,-136.87411,1109,72,0.884
114,21123,44,8,GEORGIA,200,0,1,SCOTT,0.6,0.343,-67.89709,1098,20,0.94
114,21323,44,9,GEORGIA,200,0,1,COLLINS,0.663,0.107,-102.26612,1104,57,0.912
114,21514,44,10,GEORGIA,200,0,1,HICE,0.714,-0.1,-94.57821,1116,48,0.919
114,21515,44,11,GEORGIA,200,0,1,LOUDERMILK,0.671,-0.058,-109.70468,1095,49,0.905
114,21516,44,12,GEORGIA,200,0,1,ALLEN,0.616,0.435,-69.55806,1111,23,0.939
114,20321,44,13,GEORGIA,100,0,1,SCOTT,-0.306,0.189,-175.57456,1068,67,0.848
114,20962,44,14,GEORGIA,200,0,1,GRAVES,0.756,-0.103,-114.02464,1102,65,0.902
114,21517,82,1,HAWAII,100,1,1,TAKAI,-0.363,-0.038,-63.51748,646,19,0.906
114,21124,82,1,HAWAII,100,2,2,HANABUSA,-0.377,0.009,-0.92031,31,0,0.971
114,21324,82,2,HAWAII,100,0,1,GABBARD,-0.28,-0.163,-165.56277,1119,63,0.862
114,21125,63,1,IDAHO,200,0,1,LABRADOR,0.729,-0.626,-160.40555,1099,74,0.864
114,29910,63,2,IDAHO,200,0,1,SIMPSON,0.294,0.28,-105.17876,1105,39,0.909
114,29346,21,1,ILLINOI,100,0,1,RUSH,-0.481,-0.183,-106.85449,914,42,0.89
114,21371,21,2,ILLINOI,100,0,1,KELLY,-0.448,-0.006,-79.5324,1052,29,0.927
114,20508,21,3,ILLINOI,100,0,1,LIPINSKI,-0.241,0.219,-291.79646,1094,118,0.766
114,29348,21,4,ILLINOI,100,0,1,GUTIERRE,-0.485,-0.257,-68.74374,1004,33,0.934
114,20954,21,5,ILLINOI,100,0,1,QUIGLEY,-0.319,-0.301,-116.18209,1106,51,0.9
114,20715,21,6,ILLINOI,200,0,1,ROSKAM,0.438,0.071,-134.17277,1065,63,0.882
114,29717,21,7,ILLINOI,100,0,1,DAVIS,-0.492,-0.22,-75.34097,1077,26,0.932
114,21325,21,8,ILLINOI,100,0,1,DUCKWORTH,-0.292,0.065,-115.84811,1009,46,0.892
114,29911,21,9,ILLINOI,100,0,1,SCHAKOWS,-0.602,-0.276,-74.18271,1087,33,0.934
114,21518,21,10,ILLINOI,200,0,1,DOLD,0.176,-0.207,-292.99709,1112,142,0.768
114,20749,21,11,ILLINOI,100,0,1,FOSTER,-0.219,-0.184,-145.59526,1119,55,0.878
114,21519,21,12,ILLINOI,200,0,1,BOST,0.281,0.372,-118.52438,1072,56,0.895
114,21328,21,13,ILLINOI,200,0,1,DAVIS,0.295,0.111,-146.58373,1108,71,0.876
114,21129,21,14,ILLINOI,200,0,1,HULTGREN,0.498,-0.006,-111.83421,1115,47,0.905
114,29718,21,15,ILLINOI,200,0,1,SHIMKUS,0.371,0.172,-101.46344,1118,41,0.913
114,21128,21,16,ILLINOI,200,0,1,KINZINGER,0.27,0.315,-128.72853,1119,69,0.891
114,21329,21,17,ILLINOI,100,0,1,BUSTOS,-0.241,0.085,-149.18188,1119,45,0.875
114,20914,21,18,ILLINOI,200,1,1,SCHOCK,0.311,0.185,-15.2141,110,9,0.871
114,21562,21,18,ILLINOI,200,2,2,LAHOOD,0.428,0.07,-63.14224,684,26,0.912
114,15124,22,1,INDIANA,100,0,1,VISCLOSK,-0.404,0.257,-160.7047,1111,70,0.865
114,21330,22,2,INDIANA,200,0,1,WALORSKI,0.429,0.478,-74.79901,1112,29,0.935
114,21100,22,3,INDIANA,200,0,1,STUTZMAN,0.742,-0.119,-92.80672,1061,41,0.916
114,21131,22,4,INDIANA,200,0,1,ROKITA,0.593,-0.122,-149.16629,1106,54,0.874
114,21331,22,5,INDIANA,200,0,1,BROOKS,0.37,0.447,-108.27054,1112,49,0.907
114,21332,22,6,INDIANA,200,0,1,MESSER,0.555,0.029,-117.96881,1114,47,0.9
114,20757,22,7,INDIANA,100,0,1,CARSON,-0.443,0.131,-121.95609,1108,42,0.896
114,21132,22,8,INDIANA,200,0,1,BUCSHON,0.393,0.328,-102.62466,1118,53,0.912
114,21133,22,9,INDIANA,200,0,1,YOUNG,0.491,0.144,-109.00908,1082,52,0.904
114,21520,31,1,IOWA,200,0,1,BLUM,0.516,-0.395,-210.47703,1115,70,0.828
114,20720,31,2,IOWA,100,0,1,LOEBSACK,-0.282,-0.049,-102.00744,1112,37,0.912
114,21521,31,3,IOWA,200,0,1,YOUNG,0.441,0.066,-142.79096,1125,63,0.881
114,20325,31,4,IOWA,200,0,1,KING,0.62,0.382,-152.58878,1077,43,0.868
114,21134,32,1,KANSAS,200,0,1,HUELSKAMP,0.744,-0.466,-167.58324,1103,69,0.859
114,20915,32,2,KANSAS,200,0,1,JENKINS,0.522,0.081,-110.87457,1098,50,0.904
114,21135,32,3,KANSAS,200,0,1,YODER,0.572,0.087,-120.19846,1109,59,0.897
114,21136,32,4,KANSAS,200,0,1,POMPEO,0.667,0.238,-79.8662,1081,29,0.929
114,29525,51,1,KENTUCK,200,1,1,WHITFIEL,0.303,0.182,-161.20582,956,51,0.845
114,21565,51,1,KENTUCK,200,2,2,COMER,0.541,-0.059,-1.93376,31,1,0.94
114,20916,51,2,KENTUCK,200,0,1,GUTHRIE,0.396,0.331,-100.88285,1116,47,0.914
114,20723,51,3,KENTUCK,100,0,1,YARMUTH,-0.383,-0.24,-72.95199,1041,28,0.932
114,31102,51,4,KENTUCK,200,0,1,MASSIE,0.604,-0.797,-373.05805,1114,154,0.715
114,14854,51,5,KENTUCK,200,0,1,ROGERS,0.332,0.072,-102.87739,1113,37,0.912
114,21333,51,6,KENTUCK,200,0,1,BARR,0.47,0.443,-90.97664,1117,44,0.922
114,20759,45,1,LOUISIA,200,0,1,SCALISE,0.559,0.213,-87.67398,1110,32,0.924
114,21137,45,2,LOUISIA,100,0,1,RICHMOND,-0.472,0.351,-115.54939,1077,53,0.898
114,20514,45,3,LOUISIA,200,0,1,BOUSTANY,0.392,0.308,-102.39446,1115,40,0.912
114,20918,45,4,LOUISIA,200,0,1,FLEMING,0.59,0.022,-134.43897,1116,70,0.887
114,21522,45,5,LOUISIA,200,0,1,ABRAHAM,0.487,0.496,-86.91341,1123,37,0.926
