q,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
0.13161,0.0025174,0.0031797,0.0030699,0.0046519,0.0063015,0.0067883,0.0058823,0.0063318,0.0041835,0.0058223,0.0040355,0.0066397,0.0061603,0.0062483,0.00622,0.0060114,0.0064064,0.0043582,0.0073276,0.0057432,0.0036236,0.0047189,0.0033765,0.003547,0.0023814,0.0039264,0.0040888,0.0061847
0.13495,0.0025184,0.0029069,0.0032627,0.0033021,0.0044304,0.0043647,0.0061708,0.0063,0.0051063,0.0052917,0.0046172,0.0061248,0.0062027,0.0059203,0.0058631,0.0061204,0.0066376,0.0054291,0.0072927,0.0058666,0.003703,0.0055771,0.0043124,0.0033259,0.0025641,0.0037985,0.0040625,0.0057586
0.13828,0.00096761,0.0013436,0.0017375,0.0017583,0.0035547,0.0067363,0.0061481,0.0064726,0.0051185,0.0054361,0.004836,0.0069745,0.0069407,0.006603,0.0064697,0.0064528,0.0072258,0.0066492,0.0065316,0.0051191,0.0045623,0.0031214,0.0035555,0.0049109,0.0024834,0.0023841,0.0058669,0.0075017
0.14161,0.0018742,0.0031414,0.0026,0.0040114,0.004199,0.0054907,0.0059661,0.0064911,0.0051412,0.0060939,0.0053131,0.0070466,0.0060403,0.0060253,0.0060102,0.0058226,0.0063165,0.0065552,0.0069663,0.0051349,0.0051562,0.0037104,0.0043812,0.0033134,0.0024168,0.0041969,0.0052702,0.006216
0.14494,0.0023785,0.0031246,0.0039018,0.0032454,0.0049309,0.006462,0.0042129,0.0057472,0.006027,0.0055175,0.0063229,0.0059266,0.0053336,0.0050029,0.0057648,0.0050708,0.005815,0.0067645,0.0058733,0.0051893,0.004796,0.0041467,0.0045237,0.0019218,0.0030637,0.0040056,0.0028597,0.0052837
0.14827,0.0020984,0.0023665,0.0031368,0.0019573,0.0037116,0.0050117,0.00534,0.0063254,0.0068015,0.0042826,0.0066774,0.0067196,0.0065945,0.0066547,0.0073506,0.0067644,0.0064956,0.0075574,0.00731,0.0050471,0.0046393,0.0049367,0.0039232,0.0027121,0.0039862,0.0034265,0.0037825,0.0050971
0.15161,0.0022374,0.0023924,0.0017841,0.0038035,0.0037839,0.006413,0.0063476,0.0048658,0.0065749,0.0064875,0.0062828,0.0066326,0.0061832,0.0055836,0.0065643,0.007182,0.006195,0.0073037,0.007,0.004815,0.0039304,0.0042938,0.0049053,0.0035583,0.002909,0.0028979,0.0051792,0.005385
0.15494,0.0023298,0.0023092,0.0028716,0.0022025,0.0034419,0.005986,0.005998,0.0046569,0.005124,0.0066827,0.0049425,0.0066317,0.0066925,0.0046511,0.0059265,0.0072876,0.0077604,0.006346,0.0063376,0.0057584,0.0043674,0.0057354,0.0057892,0.0037027,0.0019641,0.0038275,0.0042025,0.0057489
0.15827,0.00080333,0.001791,0.0015851,0.0017304,0.0043536,0.0050257,0.0045304,0.0052782,0.0049431,0.0058463,0.0056105,0.0064839,0.0064685,0.0054795,0.007032,0.0060013,0.0068724,0.0062604,0.0067094,0.0046431,0.0053175,0.0044458,0.0040978,0.0026774,0.0010561,0.0028939,0.003208,0.0045366
0.1616,0.00074782,0.0014599,0.001779,0.0041057,0.0056355,0.0032081,0.0057498,0.0048412,0.0046676,0.0059381,0.0052424,0.0077965,0.0057788,0.0053556,0.0062088,0.0065263,0.0071367,0.0057038,0.006758,0.0049647,0.0051053,0.0046969,0.0038342,0.0027716,0.00076045,0.0022404,0.0028466,0.0044148
0.16493,0.001499,0.0013394,0.0014679,0.0029992,0.0053798,0.0041484,0.0048808,0.005286,0.0045278,0.0053999,0.0041804,0.0071175,0.0055181,0.0063206,0.0072474,0.0064165,0.008006,0.0059576,0.0060313,0.0056024,0.0047216,0.004571,0.0037879,0.0020013,0.00086049,0.0028321,0.0013603,0.0045656
0.16827,0.0013721,0.0021268,0.001305,0.0028091,0.0052737,0.0046008,0.0044197,0.0067792,0.0049611,0.0051602,0.0055895,0.0054084,0.0050034,0.0062544,0.0062827,0.0059005,0.0077126,0.0059806,0.0056001,0.0045231,0.0044109,0.0033449,0.0034546,0.001617,0.00069741,0.0016928,0.0042121,0.0052551
0.1716,0.0030227,0.003146,0.0024991,0.0029859,0.0060751,0.0052466,0.0048328,0.0053574,0.0057878,0.0051631,0.0055853,0.0057525,0.0063184,0.0057942,0.0061779,0.0064,0.0070995,0.0054681,0.0049214,0.0042184,0.0044927,0.0026196,0.0036283,0.0010969,0.0018601,0.0013318,0.0022904,0.0030871
0.17493,0.0027298,0.0026554,0.002761,0.0017394,0.0032112,0.0047278,0.0055265,0.004984,0.0053345,0.0053996,0.0055793,0.0052443,0.0057906,0.0061053,0.0067518,0.006106,0.0064905,0.006578,0.00528,0.0048937,0.0033808,0.0038253,0.0031036,0.0021555,0.0019378,0.0010142,0.0016167,0.0027373
0.17826,0.0014766,0.0026703,0.0020494,0.0030111,0.0044672,0.0053231,0.0049235,0.0053317,0.0055656,0.005411,0.0060403,0.0055504,0.0059662,0.0062294,0.0069548,0.0056545,0.0065937,0.0060444,0.0064492,0.0050248,0.0045583,0.0033232,0.0031799,0.0012494,0.001909,0.0018067,0.00059952,0.0018817
0.18159,0.0013767,0.0025475,0.0016179,0.0042255,0.0071119,0.0069005,0.0056353,0.0054175,0.0053943,0.0044064,0.0052343,0.0062117,0.0061851,0.0060398,0.0068673,0.006571,0.0056811,0.0058856,0.0064979,0.0056394,0.0037231,0.0040225,0.0037829,0.0016642,0.00050046,0.0020349,0.0015113,0.0021284
0.18492,0.0012215,0.0023757,0.0025948,0.0027075,0.004569,0.0056395,0.0056678,0.0053883,0.0049099,0.0046646,0.0051379,0.0065804,0.0059786,0.0066639,0.0073547,0.007595,0.0057671,0.0060852,0.0068576,0.004343,0.0042201,0.0044815,0.0033439,0.0018891,0.00090731,0.001467,0.0013396,0.0019777
0.18826,0.00089617,0.0021467,0.0015069,0.0013547,0.0039027,0.002899,0.0056602,0.0068352,0.0059035,0.006088,0.0060468,0.0063298,0.0062988,0.0073175,0.0069661,0.0065684,0.0065787,0.0059923,0.0074489,0.0037397,0.0044356,0.0030166,0.0027739,0.0022711,0.0012204,0.0013559,0.0010655,0.00070665
0.19159,0.00074599,0.00086548,0.0011138,0.0021809,0.0034194,0.002772,0.0053435,0.0059379,0.0041899,0.0058356,0.0038628,0.0055633,0.0067776,0.0063486,0.0061327,0.0067376,0.0052621,0.0057839,0.006889,0.0043908,0.0042238,0.0031662,0.0021471,0.0028466,-1.17E-05,0.00062437,-0.00099525,-0.0004765
0.19492,0.0023713,0.0022673,0.0014423,0.0021845,0.0040883,0.0032625,0.0051951,0.0062632,0.0050774,0.0053171,0.0047034,0.0053938,0.005236,0.0062126,0.0070066,0.0060508,0.005557,0.0064302,0.0069582,0.0046206,0.0035897,0.0044142,0.0033176,0.0018554,0.0010608,0.0022137,-0.00054494,-0.00010627
0.19825,0.0012785,0.0030637,0.0016213,0.0038303,0.0050698,0.0049629,0.0051828,0.0057576,0.0053094,0.0053101,0.0049883,0.0053833,0.0052797,0.0056846,0.0062342,0.0060634,0.0062656,0.0065106,0.0063926,0.0053257,0.0031421,0.0043816,0.0028837,0.00091623,0.0010392,0.0016822,-0.0013145,-0.00095849
0.20158,0.0016023,0.001937,0.0012633,0.0035486,0.0049577,0.0041891,0.005647,0.0047161,0.0050637,0.0058968,0.0046708,0.0064618,0.0053081,0.0056533,0.0063433,0.0070707,0.0071688,0.0064,0.0059742,0.0043834,0.0030495,0.004159,0.0030859,0.0014617,0.00085543,0.0012859,-0.00026133,-0.00064621
0.20492,0.00077155,0.0011872,0.0016595,0.0013638,0.0057619,0.003289,0.0048107,0.0046421,0.0047229,0.0056047,0.0042072,0.0063338,0.006028,0.0056218,0.0064905,0.0062392,0.0068113,0.0052216,0.0065157,0.004102,0.0028101,0.0036004,0.002758,0.0011976,7.15E-05,0.00015625,1.99E-05,-0.00049201
