,x,G1,G2
70,0.7063929292929294,0.7048238799111077,0.16933423100976966
71,0.7164828282828284,0.7464896176453846,0.19019694801807682
72,0.7265727272727274,0.7941832208593825,0.2143405994215258
73,0.7366626262626264,0.8438491418271724,0.24104975858019542
74,0.7467525252525253,0.9012263935906445,0.2720038125926898
75,0.7568424242424243,0.9665215671215297,0.3060706760066425
76,0.7669323232323233,1.0439560149623726,0.34513926177891263
77,0.7770222222222223,1.1304094828327116,0.38813707176858653
78,0.7871121212121213,1.2282020237300162,0.4385659087492417
79,0.7972020202020202,1.3763172025033996,0.5018622151043904
80,0.8072919191919192,1.5291561870311368,0.5752167528286307
81,0.8173818181818182,1.701092445295518,0.661628095161892
82,0.8274717171717173,1.8733210051507307,0.7613934172976389
83,0.8375616161616163,2.080930717188676,0.882378108934364
84,0.8476515151515153,2.25895466942669,1.0175434711772309
85,0.8577414141414142,2.451129615593815,1.1810425762454517
86,0.8678313131313132,2.604107920771016,1.3651810906373627
87,0.8779212121212122,2.768307725600785,1.5936720156141957
88,0.8880111111111112,2.943701974977637,1.8698825581537182
89,0.8981010101010102,3.129914676347049,2.2110676087618013
90,0.9081909090909092,3.3309885936189896,2.673986946696514
91,0.9182808080808081,3.554522041445591,3.2565426544612572
92,0.9283707070707071,3.7928554271717307,3.9937519814161964
93,0.9384606060606061,4.0686108096401865,4.946616056637332
94,0.9485505050505051,4.408032416800292,6.180307467418498
95,0.9586404040404042,4.795344590783514,7.844272189432734
96,0.9687303030303032,5.333910178063903,9.987902741239147
97,0.9788202020202021,6.00157238649232,12.918108629014803
98,0.9889101010101011,7.049366916803824,16.700162750006914
99,0.999,10.6428722716597,23.252856701012583
