y,cb,cr
166,150,112
174,148,113
187,145,116
201,141,118
205,140,119
204,140,119
202,141,119
199,142,118
188,144,116
180,146,115
177,146,114
175,147,114
172,148,114
165,148,114
163,148,114
161,150,112
158,151,111
158,151,111
162,151,111
163,151,111
164,151,111
164,151,111
161,150,112
152,146,116
157,149,113
156,155,108
151,153,109
141,146,115
128,130,127
118,108,140
99,92,148
88,94,147
102,101,143
104,112,139
93,111,140
102,109,141
105,105,140
90,108,139
93,109,141
88,110,141
80,113,138
40,126,131
32,130,130
51,129,132
63,131,125
85,122,131
77,112,140
61,116,137
27,130,129
34,130,130
38,130,131
37,129,131
45,130,128
73,130,121
83,129,123
87,127,124
106,108,139
111,105,143
83,115,138
47,126,131
58,123,133
119,130,127
116,129,126
135,135,120
103,133,123
108,133,123
73,132,125
33,129,129
26,127,132
28,127,134
32,126,135
164,145,116
181,147,114
178,147,114
178,147,115
177,147,114
175,148,113
174,148,114
172,148,113
171,149,113
169,149,113
168,149,112
167,150,112
165,150,112
164,151,111
163,150,112
163,150,112
164,151,111
164,151,111
166,150,112
170,149,112
175,148,113
177,148,114
178,148,114
177,148,113
175,148,113
173,149,113
170,149,112
168,150,112
166,150,112
163,150,112
161,151,111
158,151,111
156,152,110
154,152,110
152,153,110
150,153,110
148,153,109
147,154,109
147,153,109
150,153,109
152,153,110
153,153,110
156,153,109
158,152,110
164,150,111
170,149,112
186,146,115
196,143,117
202,141,118
204,140,119
200,141,118
197,142,117
188,144,116
181,146,115
179,146,115
176,147,114
173,147,114
170,148,113
167,149,112
163,150,112
158,150,112
157,151,111
160,150,112
163,150,112
163,150,112
161,151,111
159,152,111
161,152,110
146,140,120
107,132,128
106,124,131
115,106,140
122,103,140
121,103,137
113,103,137
118,126,127
131,147,115
129,146,116
92,124,130
77,117,134
43,124,129
60,125,126
88,112,137
90,114,137
74,117,136
33,127,130
33,130,129
48,132,131
69,122,133
94,109,140
79,110,140
64,114,140
36,125,134
30,130,130
37,130,131
39,129,133
52,129,127
74,130,122
82,130,122
96,122,130
115,103,142
107,101,144
86,108,144
38,121,138
41,121,137
41,125,132
33,127,129
26,129,129
24,127,131
31,129,130
27,127,132
33,127,134
36,125,134
37,126,134
35,127,131
166,145,116
183,147,114
180,146,115
179,147,114
178,147,114
177,147,114
176,147,114
174,148,114
172,148,113
170,149,113
169,149,113
167,149,112
166,150,112
165,150,112
164,150,112
163,150,112
163,151,111
164,151,111
167,150,112
170,150,112
174,148,113
177,148,114
177,148,113
177,148,113
176,148,113
174,148,113
172,149,113
169,149,112
167,150,112
165,150,112
162,151,111
159,151,111
157,152,110
154,152,110
152,153,110
150,153,110
149,153,109
147,153,109
146,154,109
148,153,109
150,153,110
152,153,110
153,153,110
155,152,110
161,151,111
167,150,112
179,148,113
187,145,114
198,142,118
201,141,118
198,142,118
193,143,116
187,145,116
184,145,115
180,146,115
178,147,114
174,147,114
171,148,114
168,148,113
164,149,112
160,150,112
157,150,112
159,151,111
161,150,111
161,150,112
158,150,112
154,150,112
153,149,113
137,129,129
112,124,136
138,141,121
148,147,115
148,151,111
146,154,109
143,155,109
139,156,108
138,155,109
111,130,128
92,119,136
75,118,137
29,129,130
50,129,127
87,119,128
83,116,137
72,116,137
30,126,132
42,126,135
84,114,142
86,111,142
104,102,145
101,103,144
93,104,143
39,124,131
28,130,130
37,130,131
46,130,133
56,129,127
71,131,120
90,126,127
112,108,140
122,103,142
107,103,144
90,106,144
39,121,138
37,124,136
31,126,133
25,129,131
28,126,133
33,125,134
30,127,132
29,128,130
27,128,130
25,129,130
24,129,131
24,130,130
167,144,116
184,146,115
181,146,115
181,146,114
180,147,115
178,146,114
177,147,114
176,147,114
174,148,113
172,148,113
170,148,113
169,149,113
167,150,112
165,150,112
164,150,112
163,150,112
163,151,111
163,151,111
166,150,112
168,150,112
171,149,112
174,148,112
178,148,113
179,148,113
177,148,113
175,148,113
173,149,113
171,149,112
168,150,112
166,150,112
163,150,112
160,151,111
157,152,111
155,152,110
153,152,111
151,153,110
150,153,109
148,153,109
146,153,109
147,154,109
147,154,109
149,153,109
150,153,109
151,153,109
158,152,111
165,151,111
169,149,111
179,147,113
193,144,116
195,143,117
194,143,117
191,144,116
187,145,115
185,145,115
182,146,115
179,146,114
175,147,114
171,148,114
169,148,113
165,149,112
162,150,112
159,150,111
158,151,111
159,151,111
161,151,111
161,150,112
160,150,112
160,151,111
163,151,110
162,150,112
161,151,111
159,152,111
154,153,110
145,150,112
128,146,114
132,141,119
124,131,125
98,111,140
94,112,140
76,117,136
28,130,129
44,130,129
70,129,122
88,113,137
65,118,136
45,124,132
79,115,137
127,101,141
115,102,141
123,100,142
114,99,143
93,104,142
34,125,132
30,129,132
38,128,133
45,128,135
54,130,129
68,131,119
83,128,123
95,121,127
107,110,137
106,103,144
97,104,144
42,122,137
37,123,136
35,123,135
34,126,135
25,129,131
23,129,129
22,130,129
22,130,129
23,129,130
22,130,129
23,130,129
22,130,129
168,144,117
186,146,115
183,146,116
182,146,115
181,146,115
179,147,114
178,147,114
176,147,114
175,147,114
173,148,114
172,148,113
170,149,113
168,149,113
166,150,112
165,150,112
164,150,112
163,151,111
163,151,111
164,150,112
166,150,112
169,149,112
173,149,113
177,148,114
179,147,114
177,148,114
176,148,113
174,149,113
172,149,113
169,149,112
167,150,112
163,151,111
161,151,111
158,151,111
156,152,110
154,152,110
153,152,110
151,153,109
149,153,109
147,153,109
146,154,109
146,154,108
145,154,109
146,154,108
148,153,109
155,152,110
162,151,111
166,150,112
176,147,113
186,145,115
190,144,116
190,144,116
189,144,116
188,144,116
185,145,115
184,145,115
180,146,115
177,147,114
172,148,113
169,148,113
167,149,113
164,150,112
155,149,112
152,150,112
159,151,111
161,150,112
164,150,112
163,150,112
159,150,111
160,150,111
163,150,111
163,150,112
152,146,115
120,126,130
103,118,135
88,113,137
107,109,136
90,109,138
102,111,140
93,114,137
64,119,134
26,130,129
46,129,132
77,117,136
83,113,138
65,117,138
28,129,131
45,128,130
62,127,129
81,124,127
118,102,142
109,101,143
96,102,143
53,121,135
42,129,131
34,130,132
46,125,135
53,129,131
65,130,120
75,129,122
80,130,121
94,120,130
108,102,144
99,102,145
44,119,140
37,122,137
43,120,139
44,120,138
35,125,136
31,126,135
34,124,136
45,120,139
52,118,142
38,122,139
27,126,134
25,129,132
170,144,117
187,145,116
185,145,116
184,146,116
182,146,115
181,146,115
180,146,114
178,147,114
177,147,114
175,147,114
173,148,113
171,148,113
169,149,113
167,149,112
166,150,112
165,150,112
164,150,112
164,150,112
164,150,112
165,150,112
167,150,112
172,149,112
176,148,113
176,148,114
175,148,113
174,149,113
174,149,113
171,149,113
169,149,112
167,150,112
164,150,112
161,151,111
159,151,111
157,151,111
155,152,110
153,152,110
151,153,110
149,153,110
148,153,109
146,154,109
145,154,109
144,154,109
144,154,108
145,154,109
152,153,110
160,151,111
166,150,112
174,148,113
180,146,114
185,145,115
186,145,115
186,145,115
187,145,116
187,145,116
184,145,116
182,145,115
179,146,115
173,147,114
170,148,114
168,149,113
161,149,113
158,149,112
158,151,111
158,151,111
160,150,111
166,149,113
165,149,112
161,151,111
162,152,110
164,152,110
165,151,111
158,148,113
121,128,129
90,114,138
55,121,132
40,131,128
72,124,131
87,116,133
76,116,136
52,120,135
39,123,135
81,114,142
98,104,144
97,105,144
89,108,141
36,126,132
40,130,131
48,131,130
75,127,124
106,112,132
103,102,143
95,102,144
58,116,138
24,131,129
30,130,131
40,126,134
50,128,133
63,131,120
74,130,121
