,id,struct_filepath,formula,anon_formula,anions,heteroanion,sg_sym,sg_num,n_elems,mm_dist,tm1,tm2,idx1,idx2,oxi1,oxi2,ref_dist,delta,normed_dist,d_state1,d_state2,n1,n2,ionic_r_1,ionic_r_2,mn1,mn2,max_con,ce1,ce2,cn1,cn2,csm1,csm2,gii,gii_1991,pred_d1
11263,647990,Zr9Re4P_647990.cif,Zr9Re4P,AB4C9,P,False,P6_3/mmc,194.0,3,2.5835999999999992,Re,Re,23,21,0.0,0.0,2.7584190626415195,-0.1748190626415207,0.9366234576141196,5,5,5,5,,,58,58,1.232402036730532,I:12,I:12,12.0,12.0,0.6630460340491883,0.6630460340491883,0.0,0.0,5
11264,647991,PRh2_647991.cif,PRh2,AB2,P,False,Fm-3m,225.0,2,2.749,Rh,Rh,8,6,0.0,0.0,2.72141633,0.02758366999999984,1.0101357773509059,8,8,4,4,,,65,65,1.0471975511965983,T:4,T:4,4.0,4.0,3.121299421992041e-29,3.121299421992041e-29,0.0,0.0,8
11265,647999,P3Rh_647999.cif,P3Rh,AB3,P,False,Im-3,204.0,2,3.9979999999999993,Rh,Rh,30,25,3.0,3.0,2.72141633,1.2765836699999995,1.469087973026163,8,8,4,4,0.805,0.805,65,65,0.0,O:6,O:6,6.0,6.0,0.7503814078048443,0.7503814078048443,,,5
11266,648002,PRhSe_648002.cif,PRhSe,ABC,"Se,P",True,P2_13,198.0,3,3.9158423450389312,Rh,Rh,7,4,0.0,0.0,2.72141633,1.194426015038931,1.4388986726771538,8,8,4,4,,,65,65,0.0,,,,,,,0.0,0.0,8
11267,648003,TaPRh_648003.cif,TaPRh,ABC,P,False,Pnma,62.0,3,2.7679852023311105,Rh,Rh,11,9,0.0,0.0,2.72141633,0.046568872331110615,1.0171119985640384,8,8,4,4,,,65,65,0.6240570056074422,T:4,T:4,4.0,4.0,0.5450663213265156,0.5450663213265156,0.0,0.0,8
11268,648009,ZrPRh_648009.cif,ZrPRh,ABC,P,False,Pnma,62.0,3,2.8691615693216024,Rh,Rh,10,8,0.0,0.0,2.72141633,0.14774523932160255,1.0542898334565378,8,8,4,4,,,65,65,0.6546302482389894,T:4,T:4,4.0,4.0,0.6280109294692456,0.6280109294692456,0.0,0.0,8
11269,648015,PRu_648015.cif,PRu,AB,P,False,Pnma,62.0,2,2.664060810116766,Ru,Ru,6,4,3.0,3.0,2.665672086647254,-0.0016112765304878707,0.9993955458593128,7,7,4,4,0.82,0.82,62,62,0.9671203406770132,TBSA:10,TBSA:10,10.0,10.0,5.0631710473937375,5.0631710473937375,1.6502228479231578,,4
11270,648016,P2Ru_648016.cif,P2Ru,AB2,P,False,Pnnm,58.0,2,2.8711,Ru,Ru,4,4,2.0,2.0,2.665672086647254,0.20542791335274613,1.0770642099535666,7,7,4,4,,,62,62,0.6765915184847309,HB:8,HB:8,8.0,8.0,1.5715760807539965,1.5715760807539965,,,5
11271,648018,P4Ru_648018.cif,P4Ru,AB4,P,False,P2_1/c,14.0,2,4.252119706687477,Ru,Ru,9,8,0.0,0.0,2.665672086647254,1.5864476200402229,1.5951398253322209,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,0.26133449640158823,0.26133449640158823,0.0,0.0,7
11272,648021,PRu2_648021.cif,PRu2,AB2,P,False,Pnma,62.0,2,2.704005828316204,Ru,Ru,6,4,0.0,0.0,2.665672086647254,0.03833374166894954,1.0143805165912825,7,7,4,4,,,62,62,0.7258248806570577,C:12,C:12,12.0,12.0,2.072777302682226,2.072777302682226,0.0,0.0,7
