,x,y,z,Time,Temperature
622,-213.40199470194412,304.04040404040404,-593.311909005861,1.0,27751.84
623,-213.40199470194412,304.04040404040404,-593.311909005861,1.2,27077.42
624,-213.40199470194412,304.04040404040404,-593.311909005861,1.4000000000000001,25951.35
625,-213.40199470194412,304.04040404040404,-593.311909005861,1.6,24963.75
626,-213.40199470194412,304.04040404040404,-593.311909005861,1.8,23287.159999999996
627,-213.40199470194412,304.04040404040404,-593.311909005861,2.0,22317.41
628,-213.40199470194412,304.04040404040404,-593.311909005861,2.2,22414.62
629,-213.40199470194412,304.04040404040404,-593.311909005861,2.4000000000000004,22150.46
630,-213.40199470194412,304.04040404040404,-593.311909005861,2.6000000000000005,21624.57
631,-213.40199470194412,304.04040404040404,-593.311909005861,2.8000000000000003,20380.93
632,-213.40199470194412,304.04040404040404,-593.311909005861,3.0000000000000004,19003.286666666667
633,-213.40199470194412,304.04040404040404,-593.311909005861,3.2,18607.553333333333
634,-213.40199470194412,304.04040404040404,-593.311909005861,3.4000000000000004,17351.88
635,-213.40199470194412,304.04040404040404,-593.311909005861,3.6000000000000005,16026.26
636,-213.40199470194412,304.04040404040404,-593.311909005861,3.8000000000000003,14974.673333333334
637,-213.40199470194412,304.04040404040404,-593.311909005861,4.0,14388.766666666666
639,563.9973755286479,289.8989898989899,296.42121390403673,0.1,41529.4
640,563.9973755286479,289.8989898989899,296.42121390403673,0.2,37758.6
641,563.9973755286479,289.8989898989899,296.42121390403673,0.4,31958.82
642,563.9973755286479,289.8989898989899,296.42121390403673,0.6000000000000001,30548.29
643,563.9973755286479,289.8989898989899,296.42121390403673,0.8,28790.79
644,563.9973755286479,289.8989898989899,296.42121390403673,1.0,27751.84
645,563.9973755286479,289.8989898989899,296.42121390403673,1.2,27077.42
646,563.9973755286479,289.8989898989899,296.42121390403673,1.4000000000000001,25951.35
647,563.9973755286479,289.8989898989899,296.42121390403673,1.6,24963.75
648,563.9973755286479,289.8989898989899,296.42121390403673,1.8,23287.159999999996
649,563.9973755286479,289.8989898989899,296.42121390403673,2.0,22317.41
650,563.9973755286479,289.8989898989899,296.42121390403673,2.2,22414.62
651,563.9973755286479,289.8989898989899,296.42121390403673,2.4000000000000004,22150.46
652,563.9973755286479,289.8989898989899,296.42121390403673,2.6000000000000005,21624.57
653,563.9973755286479,289.8989898989899,296.42121390403673,2.8000000000000003,20380.93
654,563.9973755286479,289.8989898989899,296.42121390403673,3.0000000000000004,19003.286666666667
655,563.9973755286479,289.8989898989899,296.42121390403673,3.2,18607.553333333333
656,563.9973755286479,289.8989898989899,296.42121390403673,3.4000000000000004,17351.88
657,563.9973755286479,289.8989898989899,296.42121390403673,3.6000000000000005,16026.26
658,563.9973755286479,289.8989898989899,296.42121390403673,3.8000000000000003,14974.673333333334
659,563.9973755286479,289.8989898989899,296.42121390403673,4.0,14388.766666666666
661,-622.1441424696068,275.75757575757575,163.99519932931722,0.1,41529.4
662,-622.1441424696068,275.75757575757575,163.99519932931722,0.2,37758.6
663,-622.1441424696068,275.75757575757575,163.99519932931722,0.4,31958.82
664,-622.1441424696068,275.75757575757575,163.99519932931722,0.6000000000000001,30548.29
665,-622.1441424696068,275.75757575757575,163.99519932931722,0.8,28790.79
666,-622.1441424696068,275.75757575757575,163.99519932931722,1.0,27751.84
667,-622.1441424696068,275.75757575757575,163.99519932931722,1.2,27077.42
668,-622.1441424696068,275.75757575757575,163.99519932931722,1.4000000000000001,25951.35
669,-622.1441424696068,275.75757575757575,163.99519932931722,1.6,24963.75
670,-622.1441424696068,275.75757575757575,163.99519932931722,1.8,23287.159999999996
671,-622.1441424696068,275.75757575757575,163.99519932931722,2.0,22317.41
672,-622.1441424696068,275.75757575757575,163.99519932931722,2.2,22414.62
673,-622.1441424696068,275.75757575757575,163.99519932931722,2.4000000000000004,22150.46
674,-622.1441424696068,275.75757575757575,163.99519932931722,2.6000000000000005,21624.57
675,-622.1441424696068,275.75757575757575,163.99519932931722,2.8000000000000003,20380.93
676,-622.1441424696068,275.75757575757575,163.99519932931722,3.0000000000000004,19003.286666666667
677,-622.1441424696068,275.75757575757575,163.99519932931722,3.2,18607.553333333333
678,-622.1441424696068,275.75757575757575,163.99519932931722,3.4000000000000004,17351.88
679,-622.1441424696068,275.75757575757575,163.99519932931722,3.6000000000000005,16026.26
680,-622.1441424696068,275.75757575757575,163.99519932931722,3.8000000000000003,14974.673333333334
681,-622.1441424696068,275.75757575757575,163.99519932931722,4.0,14388.766666666666
683,351.15198873417455,261.6161616161616,-546.1220237174662,0.1,41529.4
684,351.15198873417455,261.6161616161616,-546.1220237174662,0.2,37758.6
685,351.15198873417455,261.6161616161616,-546.1220237174662,0.4,31958.82
686,351.15198873417455,261.6161616161616,-546.1220237174662,0.6000000000000001,30548.29
687,351.15198873417455,261.6161616161616,-546.1220237174662,0.8,28790.79
688,351.15198873417455,261.6161616161616,-546.1220237174662,1.0,27751.84
689,351.15198873417455,261.6161616161616,-546.1220237174662,1.2,27077.42
690,351.15198873417455,261.6161616161616,-546.1220237174662,1.4000000000000001,25951.35
691,351.15198873417455,261.6161616161616,-546.1220237174662,1.6,24963.75
692,351.15198873417455,261.6161616161616,-546.1220237174662,1.8,23287.159999999996
693,351.15198873417455,261.6161616161616,-546.1220237174662,2.0,22317.41
694,351.15198873417455,261.6161616161616,-546.1220237174662,2.2,22414.62
695,351.15198873417455,261.6161616161616,-546.1220237174662,2.4000000000000004,22150.46
696,351.15198873417455,261.6161616161616,-546.1220237174662,2.6000000000000005,21624.57
697,351.15198873417455,261.6161616161616,-546.1220237174662,2.8000000000000003,20380.93
698,351.15198873417455,261.6161616161616,-546.1220237174662,3.0000000000000004,19003.286666666667
699,351.15198873417455,261.6161616161616,-546.1220237174662,3.2,18607.553333333333
700,351.15198873417455,261.6161616161616,-546.1220237174662,3.4000000000000004,17351.88
701,351.15198873417455,261.6161616161616,-546.1220237174662,3.6000000000000005,16026.26
702,351.15198873417455,261.6161616161616,-546.1220237174662,3.8000000000000003,14974.673333333334
703,351.15198873417455,261.6161616161616,-546.1220237174662,4.0,14388.766666666666
705,110.90663948982444,247.47474747474743,645.3339962216342,0.1,41529.4
706,110.90663948982444,247.47474747474743,645.3339962216342,0.2,37758.6
707,110.90663948982444,247.47474747474743,645.3339962216342,0.4,31958.82
708,110.90663948982444,247.47474747474743,645.3339962216342,0.6000000000000001,30548.29
709,110.90663948982444,247.47474747474743,645.3339962216342,0.8,28790.79
710,110.90663948982444,247.47474747474743,645.3339962216342,1.0,27751.84
711,110.90663948982444,247.47474747474743,645.3339962216342,1.2,27077.42
712,110.90663948982444,247.47474747474743,645.3339962216342,1.4000000000000001,25951.35
713,110.90663948982444,247.47474747474743,645.3339962216342,1.6,24963.75
714,110.90663948982444,247.47474747474743,645.3339962216342,1.8,23287.159999999996
715,110.90663948982444,247.47474747474743,645.3339962216342,2.0,22317.41
716,110.90663948982444,247.47474747474743,645.3339962216342,2.2,22414.62
717,110.90663948982444,247.47474747474743,645.3339962216342,2.4000000000000004,22150.46
718,110.90663948982444,247.47474747474743,645.3339962216342,2.6000000000000005,21624.57
719,110.90663948982444,247.47474747474743,645.3339962216342,2.8000000000000003,20380.93
720,110.90663948982444,247.47474747474743,645.3339962216342,3.0000000000000004,19003.286666666667
721,110.90663948982444,247.47474747474743,645.3339962216342,3.2,18607.553333333333
722,110.90663948982444,247.47474747474743,645.3339962216342,3.4000000000000004,17351.88
723,110.90663948982444,247.47474747474743,645.3339962216342,3.6000000000000005,16026.26
724,110.90663948982444,247.47474747474743,645.3339962216342,3.8000000000000003,14974.673333333334
725,110.90663948982444,247.47474747474743,645.3339962216342,4.0,14388.766666666666
727,-521.7846744742426,233.33333333333337,-404.0993801521652,0.1,41529.4
728,-521.7846744742426,233.33333333333337,-404.0993801521652,0.2,37758.6
729,-521.7846744742426,233.33333333333337,-404.0993801521652,0.4,31958.82
730,-521.7846744742426,233.33333333333337,-404.0993801521652,0.6000000000000001,30548.29
731,-521.7846744742426,233.33333333333337,-404.0993801521652,0.8,28790.79
732,-521.7846744742426,233.33333333333337,-404.0993801521652,1.0,27751.84
733,-521.7846744742426,233.33333333333337,-404.0993801521652,1.2,27077.42
734,-521.7846744742426,233.33333333333337,-404.0993801521652,1.4000000000000001,25951.35
735,-521.7846744742426,233.33333333333337,-404.0993801521652,1.6,24963.75
736,-521.7846744742426,233.33333333333337,-404.0993801521652,1.8,23287.159999999996
737,-521.7846744742426,233.33333333333337,-404.0993801521652,2.0,22317.41
738,-521.7846744742426,233.33333333333337,-404.0993801521652,2.2,22414.62
739,-521.7846744742426,233.33333333333337,-404.0993801521652,2.4000000000000004,22150.46
740,-521.7846744742426,233.33333333333337,-404.0993801521652,2.6000000000000005,21624.57
741,-521.7846744742426,233.33333333333337,-404.0993801521652,2.8000000000000003,20380.93
742,-521.7846744742426,233.33333333333337,-404.0993801521652,3.0000000000000004,19003.286666666667
743,-521.7846744742426,233.33333333333337,-404.0993801521652,3.2,18607.553333333333
744,-521.7846744742426,233.33333333333337,-404.0993801521652,3.4000000000000004,17351.88
745,-521.7846744742426,233.33333333333337,-404.0993801521652,3.6000000000000005,16026.26
746,-521.7846744742426,233.33333333333337,-404.0993801521652,3.8000000000000003,14974.673333333334
747,-521.7846744742426,233.33333333333337,-404.0993801521652,4.0,14388.766666666666
749,662.5270552171927,219.1919191919192,-54.88901225380217,0.1,41529.4
750,662.5270552171927,219.1919191919192,-54.88901225380217,0.2,37758.6
751,662.5270552171927,219.1919191919192,-54.88901225380217,0.4,31958.82
752,662.5270552171927,219.1919191919192,-54.88901225380217,0.6000000000000001,30548.29
753,662.5270552171927,219.1919191919192,-54.88901225380217,0.8,28790.79
754,662.5270552171927,219.1919191919192,-54.88901225380217,1.0,27751.84
755,662.5270552171927,219.1919191919192,-54.88901225380217,1.2,27077.42
756,662.5270552171927,219.1919191919192,-54.88901225380217,1.4000000000000001,25951.35
757,662.5270552171927,219.1919191919192,-54.88901225380217,1.6,24963.75
758,662.5270552171927,219.1919191919192,-54.88901225380217,1.8,23287.159999999996
759,662.5270552171927,219.1919191919192,-54.88901225380217,2.0,22317.41
760,662.5270552171927,219.1919191919192,-54.88901225380217,2.2,22414.62
761,662.5270552171927,219.1919191919192,-54.88901225380217,2.4000000000000004,22150.46
762,662.5270552171927,219.1919191919192,-54.88901225380217,2.6000000000000005,21624.57
763,662.5270552171927,219.1919191919192,-54.88901225380217,2.8000000000000003,20380.93
764,662.5270552171927,219.1919191919192,-54.88901225380217,3.0000000000000004,19003.286666666667
765,662.5270552171927,219.1919191919192,-54.88901225380217,3.2,18607.553333333333
766,662.5270552171927,219.1919191919192,-54.88901225380217,3.4000000000000004,17351.88
767,662.5270552171927,219.1919191919192,-54.88901225380217,3.6000000000000005,16026.26
768,662.5270552171927,219.1919191919192,-54.88901225380217,3.8000000000000003,14974.673333333334
769,662.5270552171927,219.1919191919192,-54.88901225380217,4.0,14388.766666666666
771,-454.5036468474981,205.05050505050505,491.3051245212669,0.1,41529.4
772,-454.5036468474981,205.05050505050505,491.3051245212669,0.2,37758.6
773,-454.5036468474981,205.05050505050505,491.3051245212669,0.4,31958.82
774,-454.5036468474981,205.05050505050505,491.3051245212669,0.6000000000000001,30548.29
775,-454.5036468474981,205.05050505050505,491.3051245212669,0.8,28790.79
776,-454.5036468474981,205.05050505050505,491.3051245212669,1.0,27751.84
777,-454.5036468474981,205.05050505050505,491.3051245212669,1.2,27077.42
778,-454.5036468474981,205.05050505050505,491.3051245212669,1.4000000000000001,25951.35
779,-454.5036468474981,205.05050505050505,491.3051245212669,1.6,24963.75
780,-454.5036468474981,205.05050505050505,491.3051245212669,1.8,23287.159999999996
781,-454.5036468474981,205.05050505050505,491.3051245212669,2.0,22317.41
782,-454.5036468474981,205.05050505050505,491.3051245212669,2.2,22414.62
783,-454.5036468474981,205.05050505050505,491.3051245212669,2.4000000000000004,22150.46
784,-454.5036468474981,205.05050505050505,491.3051245212669,2.6000000000000005,21624.57
785,-454.5036468474981,205.05050505050505,491.3051245212669,2.8000000000000003,20380.93
786,-454.5036468474981,205.05050505050505,491.3051245212669,3.0000000000000004,19003.286666666667
787,-454.5036468474981,205.05050505050505,491.3051245212669,3.2,18607.553333333333
788,-454.5036468474981,205.05050505050505,491.3051245212669,3.4000000000000004,17351.88
789,-454.5036468474981,205.05050505050505,491.3051245212669,3.6000000000000005,16026.26
790,-454.5036468474981,205.05050505050505,491.3051245212669,3.8000000000000003,14974.673333333334
791,-454.5036468474981,205.05050505050505,491.3051245212669,4.0,14388.766666666666
793,3.2853439056890514,190.9090909090909,-673.4559566324184,0.1,41529.4
794,3.2853439056890514,190.9090909090909,-673.4559566324184,0.2,37758.6
795,3.2853439056890514,190.9090909090909,-673.4559566324184,0.4,31958.82
796,3.2853439056890514,190.9090909090909,-673.4559566324184,0.6000000000000001,30548.29
797,3.2853439056890514,190.9090909090909,-673.4559566324184,0.8,28790.79
798,3.2853439056890514,190.9090909090909,-673.4559566324184,1.0,27751.84
799,3.2853439056890514,190.9090909090909,-673.4559566324184,1.2,27077.42
800,3.2853439056890514,190.9090909090909,-673.4559566324184,1.4000000000000001,25951.35
801,3.2853439056890514,190.9090909090909,-673.4559566324184,1.6,24963.75
802,3.2853439056890514,190.9090909090909,-673.4559566324184,1.8,23287.159999999996
803,3.2853439056890514,190.9090909090909,-673.4559566324184,2.0,22317.41
804,3.2853439056890514,190.9090909090909,-673.4559566324184,2.2,22414.62
805,3.2853439056890514,190.9090909090909,-673.4559566324184,2.4000000000000004,22150.46
806,3.2853439056890514,190.9090909090909,-673.4559566324184,2.6000000000000005,21624.57
807,3.2853439056890514,190.9090909090909,-673.4559566324184,2.8000000000000003,20380.93
808,3.2853439056890514,190.9090909090909,-673.4559566324184,3.0000000000000004,19003.286666666667
809,3.2853439056890514,190.9090909090909,-673.4559566324184,3.2,18607.553333333333
810,3.2853439056890514,190.9090909090909,-673.4559566324184,3.4000000000000004,17351.88
