starID,time,mass,x,y,z
3,496.830,0.70,0.093,-1.138,-0.015
4,496.830,1.10,0.111,-1.109,-0.280
0,497.418,1.00,-1.246,-1.414,-0.117
1,497.418,0.75,-1.312,-1.368,-0.224
2,497.418,1.20,1.749,3.701,0.511
3,497.418,0.70,0.058,-1.226,-0.044
4,497.418,1.10,0.082,-1.039,-0.270
0,498.005,1.00,-1.240,-1.403,-0.166
1,498.005,0.75,-1.252,-1.521,-0.161
2,498.005,1.20,1.760,3.777,0.519
3,498.005,0.70,0.023,-1.284,-0.114
4,498.005,1.10,0.047,-0.991,-0.234
0,498.592,1.00,-1.169,-1.454,-0.111
1,498.592,0.75,-1.270,-1.590,-0.235
2,498.592,1.20,1.770,3.853,0.528
3,498.592,0.70,-0.013,-1.301,-0.201
4,498.592,1.10,0.006,-0.968,-0.187
0,499.180,1.00,-1.128,-1.555,-0.097
1,499.180,0.75,-1.239,-1.589,-0.255
2,499.180,1.20,1.780,3.928,0.536
3,499.180,0.70,-0.052,-1.281,-0.286
4,499.180,1.10,-0.040,-0.972,-0.141
0,499.767,1.00,-1.132,-1.653,-0.158
1,499.767,0.75,-1.136,-1.588,-0.175
2,499.767,1.20,1.790,4.002,0.545
3,499.767,0.70,-0.094,-1.227,-0.355
4,499.767,1.10,-0.090,-1.000,-0.105
0,500.354,1.00,-1.064,-1.614,-0.143
1,500.354,0.75,-1.119,-1.764,-0.199
2,500.354,1.20,1.800,4.077,0.553
3,500.354,0.70,-0.140,-1.149,-0.394
4,500.354,1.10,-0.145,-1.047,-0.087
0,500.941,1.00,-0.987,-1.683,-0.104
1,500.941,0.75,-1.102,-1.787,-0.254
2,500.941,1.20,1.810,4.151,0.561
3,500.941,0.70,-0.192,-1.062,-0.392
4,500.941,1.10,-0.204,-1.104,-0.096
0,501.529,1.00,-0.940,-1.780,-0.112
1,501.529,0.75,-1.033,-1.765,-0.247
2,501.529,1.20,1.819,4.225,0.569
3,501.529,0.70,-0.251,-0.985,-0.341
4,501.529,1.10,-0.266,-1.160,-0.135
0,502.116,1.00,-0.926,-1.785,-0.186
1,502.116,0.75,-0.908,-1.853,-0.152
2,502.116,1.20,1.828,4.298,0.578
3,502.116,0.70,-0.316,-0.952,-0.245
4,502.116,1.10,-0.333,-1.197,-0.202
0,502.703,1.00,-0.813,-1.786,-0.128
1,502.703,0.75,-0.901,-1.932,-0.234
2,502.703,1.20,1.838,4.371,0.586
3,502.703,0.70,-0.390,-0.991,-0.138
4,502.703,1.10,-0.403,-1.197,-0.275
0,503.290,1.00,-0.726,-1.845,-0.108
1,503.290,0.75,-0.847,-1.912,-0.268
2,503.290,1.20,1.847,4.444,0.594
3,503.290,0.70,-0.471,-1.093,-0.069
4,503.290,1.10,-0.477,-1.171,-0.323
0,503.878,1.00,-0.677,-1.911,-0.146
1,503.878,0.75,-0.733,-1.859,-0.228
2,503.878,1.20,1.856,4.516,0.602
3,503.878,0.70,-0.557,-1.224,-0.057
4,503.878,1.10,-0.555,-1.143,-0.333
0,504.465,1.00,-0.607,-1.832,-0.170
1,504.465,0.75,-0.641,-1.970,-0.206
2,504.465,1.20,1.864,4.588,0.610
3,504.465,0.70,-0.645,-1.355,-0.099
4,504.465,1.10,-0.635,-1.134,-0.308
0,505.052,1.00,-0.496,-1.819,-0.129
1,505.052,0.75,-0.607,-1.951,-0.271
2,505.052,1.20,1.873,4.660,0.618
3,505.052,0.70,-0.729,-1.477,-0.176
4,505.052,1.10,-0.715,-1.159,-0.260
0,505.639,1.00,-0.426,-1.825,-0.130
1,505.639,0.75,-0.536,-1.863,-0.282
2,505.639,1.20,1.881,4.731,0.626
3,505.639,0.70,-0.796,-1.591,-0.264
4,505.639,1.10,-0.793,-1.220,-0.204
0,506.227,1.00,-0.429,-1.784,-0.217
1,506.227,0.75,-0.406,-1.796,-0.183
2,506.227,1.20,1.890,4.803,0.634
3,506.227,0.70,-0.833,-1.697,-0.343
