name,x,alt
BLUMENAU,-0.43,-0.631
DEFAZIO,-0.429,-0.01
SCHRADER,-0.199,0.083
BRADY,-0.484,0.223
FATTAH,-0.472,-0.054
EVANS,-0.331,-0.062
KELLY,0.319,0.51
PERRY,0.647,-0.288
THOMPSON,0.304,0.43
COSTELLO,0.21,-0.052
MEEHAN,0.217,0.092
FITZPATRI,0.202,-0.186
SHUSTER,0.377,0.358
MARINO,0.357,0.583
BARLETTA,0.274,0.414
ROTHFUS,0.499,0.128
BOYLE,-0.362,0.036
DOYLE,-0.325,0.13
DENT,0.236,-0.063
PITTS,0.538,0.012
CARTWRIGHT,-0.43,0.045
MURPHY,0.257,0.21
CICILLINE,-0.396,-0.26
LANGEVIN,-0.375,0.111
SANFORD,0.642,-0.767
WILSON,0.545,0.148
DUNCAN,0.742,-0.215
GOWDY,0.672,-0.032
MULVANEY,0.754,-0.632
CLYBURN,-0.466,0.284
RICE,0.584,-0.217
NOEM,0.381,0.476
ROE,0.491,0.064
DUNCAN,0.599,-0.425
FLEISCHMA,0.489,0.386
DESJARLAIS,0.593,-0.022
COOPER,-0.162,-0.006
BLACK,0.589,0.371
BLACKBURN,0.612,0.215
FINCHER,0.526,0.181
COHEN,-0.401,-0.411
GOHMERT,0.597,-0.235
POE,0.592,0.058
JOHNSON,0.609,0.339
RATCLIFFE,0.74,0.108
HENSARLIN,0.706,0.124
BARTON,0.529,0.076
CULBERSO,0.501,0.476
BRADY,0.518,0.276
GREEN,-0.448,0.391
MCCAUL,0.443,0.162
CONAWAY,0.591,0.474
GRANGER,0.387,0.282
THORNBER,0.529,0.388
WEBER,0.714,0.045
HINOJOSA,-0.34,0.235
OROURKE,-0.334,-0.366
FLORES,0.619,0.463
JACKSON-,-0.459,0.155
NEUGEBAUE,0.628,0.322
CASTRO,-0.41,0.105
SMITH,0.423,0.066
OLSON,0.537,0.431
HURD,0.412,0.247
MARCHANT,0.601,0.239
WILLIAMS,0.609,0.266
BURGESS,0.565,-0.153
FARENTHOLD,0.543,0.087
CUELLAR,-0.238,0.686
GREEN,-0.332,0.502
JOHNSON,-0.49,0.232
CARTER,0.466,0.693
SESSIONS,0.585,0.244
VEASEY,-0.414,0.291
VELA,-0.316,0.476
DOGGETT,-0.402,-0.307
BABIN,0.716,0.092
BISHOP,0.529,0.192
STEWART,0.517,0.225
CHAFFETZ,0.648,-0.262
LOVE,0.583,-0.018
WELCH,-0.417,-0.29
WITTMAN,0.401,0.059
RIGELL,0.405,-0.084
SCOTT,-0.457,0.04
FORBES,0.407,0.218
HURT,0.568,0
GOODLATT,0.49,0.058
BRAT,0.828,-0.355
BEYER,-0.365,-0.147
GRIFFITH,0.531,-0.415
COMSTOCK,0.271,0.542
CONNOLLY,-0.307,-0.008
DELBENE,-0.274,-0.223
LARSEN,-0.372,0.242
HERRERA BEU,0.377,-0.221
NEWHOUSE,0.367,0.218
MCMORRIS RO,0.423,0.221
KILMER,-0.301,-0.061
MCDERMOT,-0.666,-0.197
REICHERT,0.214,-0.136
SMITH,-0.281,-0.105
HECK,-0.325,-0.087
MCKINLEY,0.291,0.149
MOONEY,0.563,-0.216
JENKINS,0.307,0.295
RYAN,0.555,-0.223
POCAN,-0.572,-0.438
KIND,-0.269,-0.09
MOORE,-0.528,-0.267
SENSENBR,0.646,-0.617
GROTHMAN,0.59,-0.202
DUFFY,0.513,-0.137
RIBBLE,0.603,-0.333
LUMMIS,0.675,-0.357
SESSIONS,0.551,0.165
SHELBY,0.437,0.591
MURKOWSKI,0.207,-0.313
SULLIVAN,0.464,0.128
FLAKE,0.829,-0.559
MCCAIN,0.382,-0.621
COTTON,0.613,0.239
BOOZMAN,0.399,0.313
BOXER,-0.45,-0.423
FEINSTEIN,-0.263,-0.188
GARDNER,0.448,0.121
BENNET,-0.211,-0.138
BLUMENTHAL,-0.374,-0.198
MURPHY,-0.313,-0.18
COONS,-0.302,-0.249
CARPER,-0.174,-0.222
RUBIO,0.577,-0.236
NELSON,-0.189,0.314
PERDUE,0.678,-0.368
ISAKSON,0.403,0.01
HIRONO,-0.511,-0.041
SCHATZ,-0.439,-0.084
RISCH,0.637,0.677
CRAPO,0.509,0.332
DURBIN,-0.366,-0.39
KIRK,0.274,-0.647
COATS,0.375,-0.227
DONNELLY,-0.119,0.432
GRASSLEY,0.34,-0.052
ERNST,0.502,0.06
MORAN,0.401,0.407
ROBERTS,0.415,-0.102
PAUL,0.866,-0.5
MCCONNELL,0.404,0.027
VITTER,0.495,0.323
CASSIDY,0.444,-0.001
COLLINS,0.106,-0.597
KING,-0.168,-0.339
MIKULSKI,-0.37,-0.128
CARDIN,-0.33,-0.266
WARREN,-0.709,-0.387
MARKEY,-0.498,-0.464
STABENOW,-0.328,0.021
PETERS,-0.233,-0.191
KLOBUCHAR,-0.237,-0.182
FRANKEN,-0.439,-0.147
COCHRAN,0.284,0.084
WICKER,0.374,0.435
MCCASKILL,-0.143,-0.046
BLUNT,0.428,0.356
DAINES,0.52,0.027
TESTER,-0.205,0.031
