y,cb,cr
203,132,121
202,131,120
202,132,121
201,132,121
200,132,121
200,132,121
199,131,122
199,131,122
199,129,122
199,130,123
196,128,124
165,124,130
160,124,131
159,124,132
158,124,132
158,123,132
156,124,132
156,124,132
154,124,132
153,124,132
153,124,132
152,124,133
151,124,132
149,124,132
149,125,133
149,125,132
146,124,132
134,122,133
127,122,132
123,122,132
119,123,132
105,123,133
104,122,132
103,122,133
101,121,131
96,121,131
86,119,131
76,121,129
77,124,130
80,124,130
78,121,130
66,122,129
63,123,129
64,123,129
64,122,129
61,124,129
64,122,129
75,119,129
82,121,130
79,119,132
65,112,131
48,111,129
44,115,129
44,116,129
42,116,129
50,112,131
37,118,128
31,123,126
34,122,126
30,124,127
26,124,128
27,124,127
28,126,125
35,121,127
41,118,130
28,124,129
30,123,128
39,120,127
38,120,127
42,117,126
34,120,126
34,120,128
220,137,114
212,141,114
209,142,114
208,142,115
208,142,115
210,141,116
214,140,115
217,138,115
222,135,115
227,133,116
228,132,117
228,132,117
229,132,117
228,132,117
228,132,116
222,136,116
213,139,115
210,140,115
209,140,115
210,140,115
209,140,115
207,140,115
206,140,116
207,139,116
207,139,116
207,139,116
207,139,116
208,139,116
207,139,116
206,139,116
205,139,116
204,139,116
206,138,116
209,136,117
213,135,117
219,134,117
219,134,118
220,133,117
220,133,117
219,133,117
219,133,117
219,132,117
220,131,118
220,131,118
220,130,119
220,130,119
219,129,120
218,129,119
211,133,118
207,136,118
206,135,118
207,134,118
210,132,119
211,130,120
211,130,120
212,128,121
214,128,121
213,128,121
212,128,121
211,128,121
210,128,121
209,129,121
208,129,121
206,131,121
203,131,120
202,132,121
201,132,121
200,132,121
200,132,121
199,131,121
199,131,122
199,130,122
198,130,123
191,128,124
166,126,129
160,124,131
159,124,132
158,125,132
158,124,132
156,124,132
156,124,132
155,124,132
154,124,132
153,123,132
152,124,132
151,125,132
150,124,132
149,124,132
148,125,132
147,124,132
138,122,133
130,123,132
127,122,132
119,122,133
103,124,133
103,123,132
103,121,132
98,120,132
94,121,131
87,121,130
80,123,130
77,123,129
80,124,130
79,122,129
71,120,129
67,121,129
65,122,129
64,122,129
62,123,129
66,122,129
76,119,128
83,120,131
78,116,133
58,113,130
42,116,128
36,119,128
40,118,130
38,119,129
44,116,130
32,121,127
30,124,126
29,124,126
27,125,126
26,125,127
26,124,127
29,125,127
46,115,128
51,110,131
48,113,133
44,117,130
42,116,128
41,117,127
39,118,125
33,121,124
36,120,129
219,137,114
212,141,114
209,142,114
208,142,115
207,142,115
210,141,115
213,140,115
216,139,115
221,136,115
227,133,116
228,132,117
228,132,117
229,132,117
228,132,116
227,133,116
220,136,115
213,140,115
209,140,116
209,140,116
210,140,115
209,140,115
207,140,115
206,140,116
207,139,116
207,139,116
206,140,116
207,139,116
208,139,116
207,139,116
206,139,116
205,139,116
205,139,116
206,138,116
210,136,117
214,135,117
218,134,117
221,133,117
220,133,117
220,133,117
219,133,117
219,133,117
219,132,117
220,131,118
220,130,119
220,130,119
220,129,119
219,129,120
218,129,120
214,131,119
206,135,118
205,136,118
207,134,119
209,132,119
211,131,120
213,129,120
213,128,121
214,127,121
213,128,121
212,128,121
210,129,121
208,130,121
208,129,121
208,129,121
206,130,121
203,131,120
204,131,121
202,132,121
200,132,121
200,132,121
200,131,122
199,131,122
199,130,122
199,129,123
182,128,126
162,125,130
160,124,131
159,124,132
159,124,131
158,125,132
157,124,132
156,124,132
155,124,132
154,124,132
153,125,133
152,124,132
151,125,132
150,124,132
149,124,132
148,125,131
146,124,133
136,123,133
131,123,133
125,122,132
119,122,133
108,123,134
105,123,134
107,121,134
98,122,133
92,121,131
90,122,132
88,121,130
82,123,129
83,124,130
77,121,130
71,118,129
66,116,130
67,116,132
71,116,132
70,117,132
67,123,129
75,119,128
83,117,132
70,113,133
50,114,129
50,113,131
54,110,133
47,114,131
37,119,129
35,120,128
34,121,127
29,124,126
30,124,126
30,124,127
25,125,127
29,124,127
33,124,127
46,117,127
41,115,126
52,111,130
52,111,130
46,115,130
48,114,130
37,120,126
42,117,129
41,116,129
219,137,114
213,141,113
209,142,114
208,142,115
207,142,114
209,141,115
213,140,115
216,139,115
219,137,114
226,133,115
228,132,117
228,132,117
229,132,117
228,132,116
226,133,116
219,137,115
212,140,115
209,141,115
209,141,115
210,140,115
209,140,116
206,140,116
206,140,116
207,140,116
207,139,115
206,140,116
207,139,116
208,139,116
207,139,116
206,139,116
205,139,116
205,139,116
206,138,117
210,136,117
214,135,117
217,134,117
218,134,117
220,133,117
220,134,117
219,133,117
219,133,117
219,132,117
220,131,118
221,131,118
220,130,119
219,130,119
219,130,119
218,129,119
217,129,119
209,134,118
206,135,118
208,134,118
209,131,119
211,130,120
213,128,120
213,128,121
214,128,120
210,129,120
211,128,121
208,131,121
205,132,120
206,131,120
207,130,121
205,131,121
203,131,121
203,131,121
202,132,121
200,131,121
200,130,121
200,131,122
199,131,122
199,130,122
199,130,123
175,127,127
160,125,131
160,124,131
160,124,131
158,125,132
158,124,132
157,124,132
156,125,132
155,125,132
154,125,133
153,124,133
152,124,133
151,124,132
150,124,132
149,124,132
148,125,132
147,124,132
139,123,133
130,123,133
126,124,132
121,122,132
110,122,133
107,122,133
104,124,132
99,123,132
93,121,132
92,121,132
92,120,130
88,122,129
86,122,130
82,118,130
68,117,129
64,115,131
61,119,131
58,120,129
68,116,132
77,116,132
75,119,129
83,119,131
79,116,132
59,111,130
48,114,131
57,110,132
43,115,129
38,117,128
37,120,128
37,120,126
29,124,125
29,125,126
29,124,126
26,126,127
28,125,127
27,124,127
36,121,127
35,120,127
42,118,126
52,110,128
52,110,128
47,114,129
40,117,129
55,110,132
51,111,130
220,137,114
214,140,114
209,143,114
208,142,115
207,142,115
209,141,115
212,141,115
216,139,115
218,138,115
222,135,115
228,132,116
228,132,117
229,132,117
228,132,117
226,133,116
219,137,115
212,139,115
209,141,115
209,141,115
209,140,115
209,140,115
206,141,115
206,140,116
207,140,116
206,140,116
206,139,116
208,139,116
209,139,116
207,139,116
207,139,116
205,139,116
205,139,116
205,138,117
209,137,117
213,136,117
215,135,117
213,135,117
218,134,117
220,133,117
219,133,117
219,133,117
219,132,117
220,131,118
220,130,119
220,130,119
220,129,119
219,130,119
218,130,119
218,129,119
211,133,118
206,135,118
208,134,118
209,132,119
211,130,120
213,128,120
213,128,121
212,129,121
208,131,120
209,130,120
207,132,120
204,133,120
204,132,120
205,131,121
205,131,121
204,131,121
202,131,121
201,131,121
201,131,121
202,131,122
200,131,122
199,131,122
199,131,123
200,130,123
175,127,127
160,125,131
160,124,131
159,124,131
158,125,132
158,125,132
157,125,132
156,125,133
155,125,132
154,125,133
153,125,132
152,124,132
151,124,132
150,124,132
149,124,132
149,125,131
146,124,132
136,122,133
130,122,132
127,124,132
121,123,132
114,120,133
105,119,132
103,120,132
101,121,132
92,123,130
91,121,131
87,121,130
89,120,130
85,118,131
77,115,130
64,117,129
65,119,129
56,122,129
54,123,129
62,120,130
70,113,132
74,117,131
83,120,131
81,117,132
60,112,130
50,114,129
45,116,130
41,118,128
45,116,129
37,120,127
33,123,126
30,124,125
26,125,127
27,125,126
27,126,127
32,123,127
33,121,127
34,121,127
39,118,132
41,117,129
43,116,126
41,116,127
38,118,126
35,120,127
38,119,127
46,114,129
220,137,114
214,140,114
209,142,114
207,142,115
207,142,114
208,141,115
212,140,115
215,139,115
217,138,115
221,136,115
227,132,116
228,132,116
228,132,117
228,132,117
226,133,116
219,137,115
213,140,115
209,141,115
208,141,115
209,141,115
209,140,115
206,141,115
206,141,115
207,140,115
206,140,116
207,139,116
208,139,116
209,138,116
207,139,116
206,139,116
205,139,116
205,139,116
205,139,117
208,137,117
212,136,117
215,135,117
211,135,117
216,135,117
220,133,117
219,133,117
219,133,117
219,133,118
220,131,118
220,130,119
220,130,119
220,130,119
219,129,119
218,129,119
218,130,119
212,132,119
206,135,118
208,134,118
208,133,119
212,130,120
214,128,120
214,128,120
213,129,120
210,130,120
208,131,120
204,133,120
203,133,119
203,133,120
204,132,120
204,131,121
204,131,121
204,130,121
204,130,121
204,130,122
202,130,122
200,131,122
199,131,122
199,131,123
200,130,123
177,129,126
160,125,131
160,124,131
159,124,131
158,124,132
157,124,132
157,124,132
156,124,132
155,124,133
153,125,133
152,125,132
152,125,132
151,124,132
150,125,132
149,125,132
148,126,132
146,124,132
135,123,132
129,124,132
127,124,133
124,123,133
112,119,133
105,120,132
101,121,131
98,122,131
94,121,130
90,121,130
86,121,130
86,121,130
83,121,131
71,115,130
57,120,130
60,119,128
55,123,129
54,124,129
61,120,130
61,120,131
63,122,131
73,121,131
75,116,133
67,111,131
54,112,129
42,117,129
34,121,127
36,121,128
33,122,127
32,123,127
32,124,126
29,124,126
27,125,127
28,125,126
